"huc8","population","area_m2","nColleges","nLentic","nLotic","nhdFeatures","padus_area_m2","area_km2","padus_area_km2","popDens","eduDens","parkDens","nSites","siteDens","med_age","med_income","bachDeg25p","vacRecHs","openWater","developed","forest","plantCult","wetland"
"17070103",92220,6541565872.39091,1,28,1913,1941,823127751.550474,6541.56587239091,823.127751550474,14.0975420562866,0.00015286859744401,0.125830384896762,1,0.00015286859744401,39.05,45224,0.0964879727404609,0.29920424403183,0.00161090458488228,0.00508054522924412,0.187484510532838,0.357496902106567,0.00111524163568773
"17070104",12843,2246610721.56768,0,1,596,597,84924746.6369323,2246.61072156768,84.9247466369323,5.71661119423403,0,0.0378012736348343,1,0.000445114941542789,46.1,42148,0.0768313051777619,0.288723667905824,0.000360620266858997,0,0.0620266858997476,0.339343671114317,0
"17070105",89347,5589002157.08098,1,49,1655,1704,2714237476.28809,5589.00215708098,2714.23747628809,15.986216768015,0.000178922815181428,0.485639010328398,200,0.0357845630362855,42.4,47456,0.142506624791442,0.548852357320099,0.0277173124365114,0.00754607459004499,0.576404005224205,0.156726164562473,0.00188651864751125
"17070106",31263,3501906062.11887,0,23,1198,1221,199856395.145747,3501.90606211887,199.856395145747,8.92742393583338,0,0.05707074707333,2,0.000571117546993787,45.45,43865.5,0.115276820583506,0.642616318273769,0,0.000693160813308688,0.54713493530499,0.0785582255083179,0.00901109057301294
"17070201",27530,5540195380.8568,0,15,1737,1752,2859789221.28928,5540.1953808568,2859.78922128928,4.9691388312992,0,0.516189236063911,17,0.00306848384061338,50.5,37832,0.11620448041054,0.534636488340192,0,0.000292098729370527,0.490433766613115,0.000292098729370528,0.0151891339272674
"17070202",21310,4787395501.47537,0,11,1721,1732,3153741322.10052,4787.39550147537,3153.74132210052,4.45127209428022,0,0.658759302658117,5,0.00104440921968095,47.3,40568,0.137818419333769,0.523544679273267,0.000169033130493577,0,0.623056118999324,0.000676132521974306,0.00388776200135227
"17070203",9995,2051836858.14417,0,1,703,704,1188686811.74449,2051.83685814417,1188.68681174449,4.87124498243013,0,0.579328130804524,7,0.00341157727633926,50.5,37832,0.135726678233017,0.53719512195122,0,0,0.575207264113699,0.000394788787998421,0.000394788787998421
"17070204",29328,8155454044.67721,0,12,2279,2291,1441916032.43214,8155.45404467721,1441.91603243214,3.59612105461392,0,0.176803893999406,17,0.00208449461021675,46.1,40568,0.114677194612169,0.495225551531116,9.93245927691696e-05,9.93245927691696e-05,0.121573301549464,0.152860548271753,0.000695272149384188
"17070301",183947,5579647590.49543,3,116,811,927,3989264228.53783,5579.64759049543,3989.26422853783,32.9674942756854,0.000537668365491453,0.714967059090485,74,0.0132624863487892,42,49754,0.179208276681201,0.627003994673768,0.0167199767374237,0.0206455364931666,0.539982553067752,0.0139575457981971,0.00552486187845304
"17070302",32983,2725922171.93745,0,32,364,396,1949237479.39081,2725.92217193745,1949.23747939081,12.0997585109179,0,0.715074516601253,13,0.00476902830676205,49.5,39067.5,0.106579165974414,0.617314313821938,0.0101070154577883,0.00118906064209275,0.660523186682521,0.00118906064209275,0.012782401902497
"17070303",21425,3964334151.9667,0,46,832,878,2499537943.07254,3964.3341519667,2499.53794307254,5.40443847029673,0,0.630506371879001,2,0.000504498340284409,50.4,37832,0.123552614836493,0.541834451901566,0,0,0.078259092766653,0.00776460972619534,0.0118512464241929
"17070304",13940,2993922286.12131,0,21,742,763,1747102813.75738,2993.92228612131,1747.10281375738,4.65609948014368,0,0.583549820867524,8,0.0026720800459935,52.4,48172.5,0.127892462794047,0.562774363476734,0.00351731601731602,0,0.326298701298701,0.00297619047619048,0.0132575757575758
"17070305",80213,4786987769.65088,0,29,801,830,2844044478.03213,4786.98776965088,2844.04447803213,16.7564664586244,0,0.594119854674195,20,0.0041779927090682,43.5,46156,0.113890634820867,0.498303731790062,0.00101540023692672,0.00287696733795904,0.226941952953122,0.0546623794212219,0.000338466745642241
"17070306",37798,5946018591.36269,0,58,2016,2074,1324811976.44282,5946.01859136269,1324.81197644282,6.35685869783626,0,0.222806564777189,12,0.00201815716106765,40.75,41354,0.108227612711269,0.687014894063352,0.00122699386503067,0.00136332651670075,0.263667348329925,0.0747102931152011,0.000681663258350375
"17070307",22787,1792705137.39062,0,3,505,508,220778731.349449,1792.70513739062,220.778731349449,12.7109581630182,0,0.123153956969636,0,0,42.7,45089,0.105760909877612,0.480209545983702,0,0,0.13589164785553,0.0270880361173815,0
"17080001",220287,2264340579.48644,1,39,805,844,1503917139.39751,2264.34057948644,1503.91713939751,97.2852767802103,0.00044162967755796,0.664174441346011,18,0.00794933419604327,36.7,64251.5,0.161451444972845,0.398157625383828,0.0320855614973262,0.031729055258467,0.800713012477718,0.0884135472370766,0.00748663101604278
"17080002",65914,2721457557.34075,0,64,858,922,1773241862.04475,2721.45755734075,1773.24186204475,24.2201094858916,0,0.65157799623282,3,0.00110235046359916,36.7,66042,0.15207430035475,0.35176184690158,0.0219845513963161,0.010992275698158,0.759655377302436,0.0754604872251931,0.00742721330956625
"17080003",522943,2964719534.1244,8,124,1038,1162,428032917.617266,2964.7195341244,428.032917617266,176.388691739924,0.00269840027291577,0.144375517714421,95,0.0320435032408748,37.4,53972,0.15014292423566,0.184536522853481,0.0834701696770662,0.114395183360701,0.518062397372742,0.0859332238642583,0.0711548987411056
"17080004",20414,2655297584.74748,0,61,1163,1224,2389153148.94952,2655.29758474748,2389.15314894952,7.68802717904833,0,0.899768509064015,5,0.00188302811282657,48.5,49063,0.0816239920780874,0.686010037641154,0.00488698839340257,0.0015271838729383,0.89554062309102,0.0131337813072694,0.0045815516188149
"17080005",85988,3758653180.11276,0,28,849,877,717267798.580336,3758.65318011276,717.267798580336,22.8773435269227,0,0.190831067461994,2,0.000532105492090121,43.1,47778,0.084024414516022,0.34238683127572,0.0280293229840448,0.00991806813281586,0.604139715394567,0.0955153083225528,0.0310478654592496
"17080006",49512,1756253023.58552,1,7,504,511,281938923.247193,1756.25302358552,281.938923247193,28.1918375855192,0.000569394037516546,0.160534341840787,43,0.0244839436132115,47.15,43129.5,0.123699095022624,0.677821011673152,0.215640906987506,0.006478482184174,0.428042572882925,0.00647848218417399,0.109208699676076
"17090001",70798,3540440725.68033,0,92,969,1061,2955615644.7696,3540.44072568033,2955.6156447696,19.9969454329434,0,0.834815740122764,42,0.0118629298593692,44.25,41957.5,0.124479388878731,0.633851119628808,0.0173674588665448,0.00251371115173674,0.898765996343693,0.024908592321755,0.00114259597806216
"17090002",71519,1726154965.27902,1,15,511,526,640008713.99395,1726.15496527902,640.00871399395,41.4325488954229,0.00057932226255153,0.37077129624367,20,0.0115864452510306,46.5,44272,0.129524909402254,0.227670753064799,0.00891600187705303,0.00985452839042703,0.748474894415767,0.115908024401689,0.000938526513374002
"17090003",517264,4849484891.05172,8,82,1416,1498,499353872.654529,4849.48489105172,499.353872654529,106.663699675497,0.00164965974319492,0.102970497665832,155,0.0319621575244015,38.2,45342,0.172372017521873,0.146614950634697,0.00635451505016722,0.0526755852842809,0.342140468227425,0.492307692307692,0.0125418060200668
"17090004",93040,3468297109.55512,0,93,976,1069,2435205760.30841,3468.29710955512,2435.20576030841,26.8258448054164,0,0.702132972864247,8,0.00230660746392231,39.5,51422,0.136774888688184,0.592110874200426,0.00163284348028925,0.00443200373221367,0.880802425938885,0.0298577093538605,0.000699790062981105
"17090005",67043,1979340601.32106,0,45,682,727,1426053367.78549,1979.34060132106,1426.05336778549,33.8713811838417,0,0.720468911128134,28,0.0141461252203447,39.8,52702,0.118361322927615,0.53948717948718,0.00490396403759706,0.00245198201879853,0.795259501430323,0.124233755619126,0.00572129137719657
"17090006",65232,2696175297.86243,0,22,745,767,916169827.804222,2696.17529786243,916.169827804222,24.1942725503482,0,0.339803509263873,10,0.00370895765120619,42.5,52702,0.109303101033678,0.151910112359551,0.00720504353047133,0.00420294205944161,0.705493845691985,0.178324827379166,0.00150105073551486
"17090007",546663,1841394175.50718,12,81,692,773,83171739.0873948,1841.39417550718,83.1717390873948,296.874513491622,0.0065168013234835,0.0451678082800966,55,0.0298686727326327,37.65,54591.5,0.179427034993278,0.12559379948329,0.0153711023276241,0.12955643390426,0.106280193236715,0.716732542819499,0.00527009222661396
"17090008",103881,1998915425.16459,2,29,626,655,234681659.172427,1998.91542516459,234.681659172427,51.9686819623429,0.00100054258165291,0.117404496567484,63,0.0315170913220666,40.6,54926,0.135232709873858,0.388148148148148,0.000404694455685957,0.0157830837717523,0.394981788749494,0.470254957507082,0.00161877782274383
"17090009",216728,2267497063.09578,1,48,643,691,332897724.1363,2267.49706309578,332.8977241363,95.5802781522039,0.000441014904175759,0.146812857910299,59,0.0260198793463698,36.4,50575,0.122273470128927,0.216687422166874,0.000714796283059328,0.0243030736240171,0.450321658327377,0.456040028591852,0.00357398141529664
"17090010",678192,1836154450.75193,10,48,649,697,185210197.313378,1836.15445075193,185.210197313378,369.354549516393,0.00544616494320773,0.100868528373271,208,0.113280230818721,36.6,65759,0.26674126355655,0.127356791161283,0.00309050772626932,0.17924944812362,0.316997792494481,0.371302428256071,0.00264900662251656
"17090011",139210,2441643908.88418,0,57,814,871,1756151268.43542,2441.64390888418,1756.15126843542,57.0148658833787,0,0.719249544147481,28,0.0114676836774269,43.05,63958,0.157286485342364,0.359289317832858,0.0029940119760479,0.0176314038589488,0.855289421157685,0.104790419161677,0.000665335994677312
"17090012",922084,1053212930.2678,31,74,265,339,130737281.431216,1053.2129302678,130.737281431216,875.496277628819,0.0294337442212352,0.124131861349227,239,0.226924673189523,36.2,50750,0.227091178462978,0.115744993569723,0.0529547198772064,0.423637759017652,0.281657712970069,0.131235610130468,0.0583269378357636
"17100101",15515,3907257015.8874,0,37,814,851,2773490126.43585,3907.2570158874,2773.49012643585,3.97081633916429,0,0.709830480861251,2,0.000511868042431749,40.1,46065,0.0958406997301573,0.717102020699852,0.209297520661157,0.00144628099173553,0.681198347107438,0.00227272727272727,0.0101239669421488
"17100102",15569,3530945953.30299,0,24,755,779,2090378217.47568,3530.94595330299,2090.37821747568,4.40930000229432,0,0.592016486550936,4,0.00113284090238148,47.2,43245,0.105512203220986,0.788314398330628,0.137250401652513,0.00114757860913473,0.732843699793436,0.00091806288730778,0.0172136791370209
"17100103",155962,3362542138.80747,1,22,967,989,918942403.209519,3362.54213880747,918.942403209519,46.3821696686044,0.000297394042578349,0.273287996187142,9,0.00267654638320514,42.4,49367,0.120943183617213,0.26581614819993,0.00289365806607186,0.0248372317337835,0.55220641427538,0.174342898480829,0.0262840607668194
