"state_code","state","state_name","population","area_m2","colleges","nLentic","nLotic","nhdFeatures","padus_area_m2","area_km2","padus_area_km2","popDens","eduDens","parkDens","nSites","siteDens","med_income","work_hrs","bachDeg25p","vacRecHs","openWater","developed","forest","plantCult","wetland"
"37","NC","North Carolina",9271178,130238246415.996,167,7373,64050,71423,13107986189.3232,130238.246415996,13107.9861893232,71.1862932366794,0.00128226542199119,0.100646212230582,3635,0.027910388077473,45570,39.2,0.174084076887604,0.302393378556879,0.0347892062662861,0.0652997257411519,0.464218859804599,0.261404130674079,0.152950614750275
"38","ND","North Dakota",659858,182614860153.757,29,30473,36273,66746,13516141574.7441,182614.860153757,13516.1415747441,3.61338611460435,0.000158804162900997,0.0740144671871931,58,0.000317608325801994,46781,39.8,0.193809933082246,0.340346227118363,0.0335112994475236,0.00279113383730034,0.0065730980700924,0.624537207008355,0.0114078195980944
"39","OH","Ohio",11512431,106955202569.073,426,5236,47037,52273,4265746878.72635,106955.202569073,4265.74687872635,107.637877573698,0.00398297595411391,0.0398834911838111,3839,0.0358935321310876,47358,38.2,0.153284341654395,0.0954715560096072,0.0108627406482847,0.0822875297855441,0.340466734747911,0.55669276447672,0.00653579938726881
"40","OK","Oklahoma",3675339,181257823513.492,141,8505,52268,60773,10787982507.1611,181257.823513492,10787.9825071611,20.2768571792236,0.000777897457151716,0.0595173344689207,516,0.00284677367298075,42979,39.8,0.152066578769743,0.175802051922723,0.0143440608438419,0.0139821079066608,0.210089102982313,0.312642435183613,0.00568400168017659
"41","OR","Oregon",3761925,250927227176.903,88,3222,74942,78164,138649571906.575,250927.227176903,138649.571906575,14.9920956857657,0.000350699288355664,0.552548934073334,3494,0.0139243558353942,49260,37.7,0.182533400494111,0.346517694800917,0.0109726906931867,0.008733694794254,0.39193059434871,0.0907324899245185,0.0129410741381477
"42","PA","Pennsylvania",12612705,117241792771.076,400,4440,47043,51483,18252384215.6942,117241.792771076,18252.3842156942,107.578575027655,0.00341175267407444,0.155681551640322,812,0.00692585792837111,50398,38.4,0.163181224049046,0.272781355628286,0.00920412598751164,0.0628074654155312,0.690047262565978,0.227474385069169,0.00570600614068375
"44","RI","Rhode Island",1056389,2859528523.66139,23,505,1059,1564,359579976.809395,2859.52852366139,359.579976809395,369.427684060092,0.00804328399233815,0.125747994410275,581,0.203180347806455,54902,37.5,0.184563038563473,0.31590949651986,0.0914237192187942,0.206340220775545,0.588734786300595,0.0181149165015568,0.0857628078120577
"45","SC","South Carolina",4511428,80733371428.4501,94,6033,34599,40632,6795620475.78918,80733.3714284501,6795.62047578918,55.8805846972246,0.00116432645307409,0.0841736243086515,1943,0.0240668755140739,43939,39,0.155124368497563,0.32966747263604,0.0327348994972353,0.0551736595450029,0.434424831157362,0.191261327258678,0.248963863159691
"46","SD","South Dakota",799462,199373855921.235,30,23832,66375,90207,17589601667.9895,199373.855921235,17589.6016679895,4.00986376225696,0.000150471082887878,0.0882242136849602,391,0.00196113978030534,46369,39.7,0.179798759369845,0.33632297607497,0.0225195094760312,0.00280125671430019,0.0278301408736192,0.4126076821729,0.0051565825478869
"47","TN","Tennessee",6234968,109117589924.75,172,2203,56210,58413,9986295557.28056,109117.58992475,9986.29555728056,57.1398983821012,0.00157628114879201,0.0915186594953879,1070,0.00980593505353167,43314,38.9,0.147003511919256,0.181451736598953,0.022304860306998,0.0454558950149936,0.538278257771444,0.356929722989223,0.025652444998664
"48","TX","Texas",24311891,687164856982.028,405,37637,85766,123403,21869144456.7533,687164.856982028,21869.1444567533,35.3799976133469,0.00058937821962946,0.0318251788265203,49130,0.071496671433075,49646,40.2,0.172641833148975,0.187960456691631,0.0111276279464855,0.0259798022698851,0.0822149076236992,0.25115971779807,0.0306859205776174
"49","UT","Utah",2657236,219664375555.837,67,2568,53955,56523,161167707571.177,219664.375555837,161167.707571177,12.0967999170378,0.000305010768498368,0.733699796170223,481,0.00218970417384649,56330,37.3,0.19901000571432,0.444148822040081,0.0242705570291777,0.00817123489537283,0.232036545829649,0.0312776304155614,0.00584659593280283
"50","VT","Vermont",624258,24908844512.4815,29,879,4581,5460,3076007131.22983,24908.8445124815,3076.00713122983,25.0617004609424,0.00116424509316233,0.123490558933333,1320,0.0529932249301474,51841,37.8,0.2016209789193,0.747545894951555,0.042901184488074,0.0111309427227,0.772123965601168,0.143501541457082,0.0267726756449781
"51","VA","Virginia",7841754,105048567725.862,153,4899,51803,56702,12157861666.749,105048.567725862,12157.861666749,74.6488426235766,0.00145646916766418,0.115735625244092,2814,0.0267876093974313,61406,39.5,0.199349874897668,0.233615036131021,0.0279376970089324,0.0491241050303268,0.607508111565821,0.241373995206277,0.0467426572025309
"53","WA","Washington",6561297,175803736328.505,120,4637,56580,61217,67852431809.1444,175803.736328505,67852.4318091444,37.321715323158,0.000682579349597947,0.385955573107707,1899,0.0108018182073875,57244,38.4,0.199546775967613,0.328514110414839,0.0249035103841206,0.0280463150156221,0.445883109722478,0.180210439257489,0.0100119463333946
"54","WV","West Virginia",1840802,62670071077.0728,77,629,27601,28230,6763607788.96623,62670.0710770728,6763.60778896623,29.3729042964727,0.00122865665662488,0.107924048476796,866,0.0138183982420409,38380,39.3,0.105662545677952,0.305085601737286,0.00470144530695013,0.0134197848184648,0.911021272748408,0.0603696575952882,0.00131743797062888
"55","WI","Wisconsin",5637947,145050532360.936,106,10806,43205,54011,22660859479.2527,145050.532360936,22660.8594792527,38.8688473474253,0.00073077980669685,0.156227344432385,7631,0.0526092519330534,51598,38.4,0.171463849768523,0.508914721379631,0.034595733062912,0.0269678447454492,0.334863739949741,0.409381912599667,0.187281652393397
"56","WY","Wyoming",545579,252879361945.596,13,8596,72644,81240,140441246363.808,252879.361945596,140441.246363808,2.15746748094601,5.14079120572789e-05,0.555368557098868,300,0.00118633643209105,53802,40.8,0.157461458283849,0.452630453378956,0.00552201772673207,0.00162431094683259,0.120630667502271,0.0254326166754064,0.00760676327266681
